genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
hsa-miR-33a-5p,TBX15,MAGEA3,KCNC2,C7orf57,ITK,ITGAL,LRRIQ4,GRM7-AS3
hsa-miR-215-5p,ITGB2,LRRC53,RNF183,HSD11B2,FAM153C,FGD3,GP1BA,AKR1C4
hsa-miR-592,KIAA0125,LINC01050,LIPA,CYP26A1,AMH,FCRL1,PHF21B,TMEM40
hsa-miR-501-3p,CYBB,NPFFR2,GHRH,SLC6A17,AC103563.8,hsa-miR-539-3p,PCSK2,LYPD2
CTD-2330J20.2,PSG3,AC002511.3,ARHGAP28,KNDC1,LINC00589,CD180,C6orf99,CAPNS2
LAT2,SIRPD,TBATA,B3GNT6,SMIM5,SPTA1,RP11-65J3.3,CDH16,hsa-miR-3191-5p
CYP4A22,EOMES,RP4-547N15.3,RP11-297L17.2,ASIC4,CKMT1A,RP13-379O24.2,PIK3CG,FABP2
GPR148,CIDEA,hsa-miR-3613-5p,OR1N2,HPGD,AC093627.11,S100A14,IL10RA,XAGE2B
UNC13C,TRIM40,hsa-miR-203a-3p,SPIC,OTOGL,RP11-431K24.1,CLEC3A,SLC6A8,SPANXB2
hsa-miR-93-3p,SCGB1A1,ERBB4,ITGA2B,GDAP1L1,RP11-326C3.15,ZC3H12D,SBK1,KIF17
PYHIN1,KCNJ3,S100A14,FOXB1,PLG,FXYD4,SELL,ISX,IL36B
hsa-miR-95-3p,OSCAR,FCRL1,SFN,VIPR1,TMEM59L,hsa-miR-500a-3p,GPR141,SLC9A3
DRC1,hsa-miR-210-3p,TMEM105,SPANXB2,DNAH11,HSF5,SLC10A2,CRABP2,KLRG1
CST5,FCGR1B,CAPZA3,SLFN12L,NEUROD1,hsa-miR-155-3p,KRTAP5-5,KRTAP5-5,LINC01436
RP11-119J18.1,DOK3,SLC7A11-AS1,UNC13C,SOX21,RP3-448I9.2,C22orf34,RP11-321N4.5,C1QL1
RP11-752D24.2,LRTM1,GJB3,MOGAT2,IL1RAPL2,LINC00943,GPR123,GTSF1L,PRKAR2B
hsa-miR-1180-3p,KCNT1,CEMIP,LBP,PRR9,IL12RB1,SIGLEC7,ABCA12,CELF2
NEU4,PGA3,OASL,CORO1A,CBLN1,RP1-256G22.2,TYRP1,TMEM217,SEZ6L
ZNF750,CDH16,AC079612.1,FOXC2-AS1,C2orf61,AC140912.1,hsa-miR-33a-5p,KLRC4-KLRK1,PLD4
KLHL14,PSG9,CRHBP,MEX3A,SLC7A4,GRAP,LINC00444,MB,COLGALT2
hsa-miR-4724-5p,FAM129C,MET,UCN3,KIAA1244,APOE,KLHL14,COL28A1,CRABP1
hsa-miR-1304-3p,LIPE,LINC00470,CLEC4D,CTAGE15,TMEM190,LILRA5,CELA2B,ALDH3A1
MEF2C,RP5-907C10.4,BAIAP3,CTD-2313F11.1,CAPZA3,C4BPB,LINC01090,PLA2G12B,HS3ST4
SCEL,SNX22,TMEM253,PSAPL1,HPR,MMP7,VAT1L,SYT10,BPIFB4
HSF5,TMPRSS4,RHCG,LAMA3,LCE3D,NKX6-2,TUBAL3,OIT3,GBP5
SLCO4A1-AS1,DOK2,RP1-76B20.11,NMUR2,AK4,RP11-128B16.3,CASC8,TCN1,HBB
LPPR3,HOXC11,NME8,RASGRP4,C17orf78,LINC00311,FCRL4,UGT1A9,IRX6
HP,APOB,RNF144B,TMPRSS3,TCN1,BEST2,CNTNAP4,FCGR1A,LINC00528
PTCRA,LY9,hsa-miR-503-3p,SYCE3,DNAI1,RP11-527L4.2,PLAC4,IL22,LINC01351
RP11-118A3.1,ARRDC5,PIK3C2G,BFSP2,PCDHGA1,RP11-227L6.1,RP11-326C3.14,TNS4,MYRFL
COL2A1,CD226,hsa-miR-511-3p,GPR183,CNIH2,RP11-685G9.2,UGT1A4,SPTSSB,AKR7A3
TMPRSS3,CPN2,PITX1,CYP26A1,RP1L1,LINC01259,hsa-miR-1301-5p,FMN2,HMX3
hsa-miR-490-3p,C1QTNF9B,SYT14,ASPDH,NRXN1,AC007278.3,LINC00858,TTLL6,PSG8
SPACA4,ATG16L2,MMP3,MYO1A,PBK,TM4SF19-AS1,EIF4E1B,CD160,RP11-349K16.1
RP11-876N24.3,KMO,MEGF10,TMEM14E,VILL,AKR1B10,GRIN2B,FGFBP2,BPIFB1
hsa-miR-1537-5p,GPR34,FERMT1,LGR5,IL36B,RP11-314M24.1,ZNF716,PCOLCE2,SFTPA2
RP5-984P4.4,ISX,LINC01300,EDAR,IYD,MTNR1A,CTD-2555C10.3,SELL,TNMD
HCK,CD79B,NUP62CL,ATP6V0A4,C8orf74,TIGIT,D4S234E,SLC22A17,ZNF208
LCP1,ZNF154,RP11-832A4.7,TGM5,FERMT1,RP11-297C4.2,RP11-403A21.1,GC,CABP7
CAPN5,ZNF114,PTK6,BEND4,TMPRSS11E,OTOGL,LGALS12,SLC44A4,SPRR2A
ZNF730,HOXA11,RP11-1007G5.2,DCSTAMP,ITPKA,RP11-81H14.1,HLA-DQB1-AS1,KCNG4,SDC1
hsa-miR-484,SCG3,SCGB2A1,RENBP,ALK,RP1-90G24.11,FAM187B,PRR15,ITGA2B
AC133785.1,IL10RA,RP11-1079K10.3,HMGCS2,PITX1,TACR2,TNFRSF13C,HLA-DRA,ESRP1
hsa-miR-103a-2-5p,UTS2,RP11-101E14.3,PLA2G4F,LRRC19,KCNG4,hsa-miR-126-5p,TBATA,RNF183
SEPT6,ZNF730,SLC39A4,IGSF1,GAD1,NTF4,ADCY5,PSG9,KRT16
MAPT,PIK3R6,CCDC88B,LAPTM5,RP1,hsa-miR-206,hsa-miR-450a-5p,FSTL4,HTR5A
MEX3A,BCL2L14,CTD-2566J3.1,GPT,NAT2,JPH1,DEFA6,OR2C3,NAPRT
KNG1,TLR6,AC009133.17,XKR9,EPHA2,CHI3L2,SLFN14,TRH,AKR1B10
CNNM1,BIN2,C22orf42,HTR3C,TRPA1,HYAL4,NCF2,CREB5,GABRA3
KRT4,ADIPOQ,AC067945.4,KCP,LGR5,CRABP2,TMPRSS15,HOXB9,CA9
LGALS4,PCSK1N,EEF1A2,hsa-miR-126-5p,WNT11,RP11-374M1.2,KCNH6,IL31RA,KLHL14
PKD2L1,PGLYRP1,hsa-miR-4772-3p,RASGRP1,PHLDA2,TRBV11-2,OR2H1,KRT14,hsa-miR-1179
SCGB3A1,PKD2L1,hsa-miR-542-5p,LYPD3,GPRC5A,AC090627.1,DLX2,SCN4A,ANKRD33
CADM3-AS1,UBD,DLX2,STEAP2-AS1,MYOCD,RD3,C14orf180,SLC10A2,RP11-60L3.1
ACE2,IL24,OR2H1,SCGB3A1,NEB,RP11-428K3.1,GIMAP6,G6PC,PIWIL1
AMH,CD3G,RP11-403A21.1,BEND2,BTBD11,C6orf100,CEACAM20,CLRN3,DAB1
HIST1H2AI,TREML2,C1orf162,APOC3,PCDH20,HTR1D,HOXC13-AS,PPP1R1B,ITK
DUSP9,KRT73,RP11-982M15.8,SPP1,CDHR4,LINC00987,hsa-miR-4724-5p,GPR158,FCER1G
WT1,KRT4,AC008984.2,HP,C6orf99,RP1-102K2.6,RP11-661A12.9,DRC1,NTF4
CFAP99,AC055733.1,TMEM72,hsa-miR-6502-5p,ASPG,RP11-53B2.1,RP11-285E23.2,CNTNAP5,SLC34A2
hsa-miR-891a-5p,TTC24,RP11-114M1.2,TREM2,WNT3A,RP11-814P5.1,CNTD2,LY86,CMBL
hsa-miR-658,AFF3,TNFAIP8L2,CETP,PLA2G12B,RP3-455J7.4,RP11-863P13.4,CSF1R,CHRNA9
UBE2C,TMEM45B,GMFG,FOXD3,ANKRD33,VAMP1,GYPC,ERN2,ARHGAP30
EDAR,SNX10,TNFRSF13C,CYP2S1,MAST1,CDHR4,DDX53,CEMIP,NEB
hsa-miR-129-2-3p,TNF,DTHD1,hsa-miR-767-5p,HRH3,RP11-411K7.1,YBX2,FERMT1,CPN2
IL10RA,FCRLA,hsa-miR-150-5p,CYP4Z1,OBP2B,LINC01234,IGFLR1,FASLG,TOX3
CYP26A1,GYPE,hsa-miR-150-3p,ESX1,DSCAM,RIIAD1,TFF1,FGD3,TRAPPC3L
ANXA8L1,RP4-576H24.4,AGR2,RP11-21B23.2,HIST1H2AI,NKG7,HOXC13,ACTL6B,PTGS2
MS4A15,KLRG1,ARHGAP25,C16orf78,CAPN5,CAMP,PYY,SERPIND1,A1CF
MTTP,SLC6A8,FAM150B,CGB8,CFAP61,OR6S1,MIA-RAB4B,SPRR2A,GPNMB
GJB5,SLC6A18,VAMP1,SNTN,GNG4,PALD1,C17orf78,KLK5,FAT3
SLC8A2,FAM78A,SYT13,RPRML,GUCA1C,KLRG1,ARX,IGFL1,hsa-miR-200a-5p
hsa-miR-548ba,LIPA,THRSP,MAPK4,AHNAK2,RP5-1071N3.1,RP4-550H1.4,HS3ST6,FMN2
hsa-miR-192-3p,MFSD2A,IL12A,PLA2G3,SFN,TMEM255A,GABRA3,ICAM3,LRRC26
CACNG6,TBATA,hsa-miR-383-5p,RIBC2,KLK7,RP5-907C10.3,HVCN1,FAM178B,LRCOL1
hsa-miR-1292-5p,GPR31,SHISA9,KCTD8,COX6B2,CES3,LIPE,GP9,RP11-326I11.4
CTA-363E6.2,LIPF,CHST6,UBASH3A,XK,KLF5,C6orf25,CEACAM5,RP11-1036E20.9
HOXB8,NKG2-E,KLK12,DMRTC2,LGALS9C,OASL,RETN,RASSF4,CD247
hsa-miR-10b-5p,MYO1F,SIGLEC7,GPNMB,C1orf158,PAX3,LINC00051,ZNF831,UPK2
hsa-miR-4772-3p,ZG16,EIF4E1B,WFDC10B,LPPR3,LINC00669,C17orf77,GIMAP1,CXCL17
AIPL1,CLEC9A,KCNJ6,CCL3,ACMSD,RP11-861A13.3,CRHBP,ZMAT1,RP11-430H10.3
PADI6,CNNM1,BCL2L14,APCDD1L-AS1,IGF2BP3,GAPT,CACNA1C-AS2,KRT4,APOA4
SMIM5,IFI30,DUOXA1,ANKRD34B,CYP4A22,KCNJ3,RP11-327F22.2,PPIAL4C,SEMG1
hsa-miR-1224-5p,HTR5A,GPR87,TM4SF5,EPHX4,SLC28A2,CEMIP,NKG7,IL34
CYP3A5,APOA1,RP11-613C6.2,DNHD1,APLN,RASSF4,GPC5-AS1,AMER3,HVCN1
TLR8,GABRG3,TMIE,CTB-41I6.1,TP73,LINC00505,AC079466.1,KMO,DUSP9
PADI1,NCAN,LRP2,STAB1,HS3ST4,GPR123,RP11-133K1.12,CYP4A22,INPP5D
hsa-miR-15b-5p,MASP1,C6orf25,SLC6A4,ATP10B,EPHA10,RP11-102L12.2,COL6A6,MPPED1
hsa-miR-181b-2-3p,HTR3C,DEFA4,UGT8,C1orf87,NMU,FADS3,HAPLN1,TRPA1
TMEM213,FCRL2,LINC00444,hsa-miR-1180-3p,KCTD8,LINC01470,FERMT1,NPC1L1,SLC35F3
hsa-miR-450a-1-3p,S100A2,CYP2F1,CAPNS2,SLC6A3,CTD-2354A18.1,NEUROD2,TPX2,RP11-117D22.2
SUSD3,LGSN,RFX6,hsa-miR-106a-5p,CA7,KIR3DL1,TSPAN8,CYP2W1,RP11-1029J19.4
hsa-miR-4683,KLRC4-KLRK1,ZBTB32,MT3,UBE2C,RP11-1101K5.1,C11orf86,SYT5,FEV
RP11-366H4.1,SLC22A17,C11orf86,MS4A2,C2orf82,HLA-DRA,SLC39A4,C14orf180,CLCA4
CSMD3,ANKLE1,hsa-miR-215-3p,WDR38,RIPPLY3,LY86,ARHGAP25,NXPE1,NAIP
DSG1,ZSCAN4,RP11-407H12.8,CIB4,SEZ6L,SOX21-AS1,HIST1H4I,IHH,SLC38A8
ESPN,CXorf22,SERPINB4,CSN3,COL11A2,PDCD1,RP11-115D19.1,GIP,OTP
SPP1,NEU4,WT1-AS,PCDHGB1,ETV4,A2ML1,hsa-miR-129-5p,ITGB7,CCL15
GPR34,ACSM3,PNCK,NKX2-1,CNTN5,RP1-77H15.1,SCGB2A1,SPATA21,HOGA1
PDLIM3,C6orf25,RP11-65J3.3,TMPRSS11E,F12,TRPV2,AC079612.1,PDZD3,RNF166
GPR123,GLYATL3,RFX4,AHNAK2,LRRC10B,KLK6,TNNC2,ECT2,TRIM7
ATP6V0D2,GC,GPR123,C8orf74,NKX1-2,GABRQ,PRR33,C2orf82,CTB-114C7.4
ABO,ARHGAP28,ENTPD8,TNF,ADH7,KLK7,AVPR1B,NCAM1,FETUB
KCNJ6,PRAP1,GIPR,VPREB1,BCAN,CLCA4,SLC37A2,CD33,ERMN
FAM101A,APOC2,SMIM6,CCL15,CREG2,AC112721.2,ECT2,TAS2R38,GCK
CDH16,ERN2,FAM78A,AOC1,RBFOX3,RP11-272B17.2,IL13RA2,RBP7,SSTR2
HOXA11,HCLS1,MRAP,ZIC5,EVPL,FGD2,CGB,ADRA1D,HIST1H2BJ
LBP,APOBR,CTD-2215E18.1,UGT3A2,TMEM190,EVI2B,RP4-547N15.3,AVPR1B,SIGLEC11
LINC00505,SNCB,C6orf15,PTGDR,PTGES,RBP3,AC093642.3,SLCO4A1,BFSP2
FAM78A,LCE3D,TUBB2B,SPINK13,GPR142,EVPL,PIK3C2G,CREB3L3,LHX1
LRP2,CHRNB2,MMP1,DNAH8,CGB8,KIAA0125,SLC22A17,CGA,SPACA4
AC019048.1,ATP6V0D2,CD6,EPHA5,TCEAL5,C3orf27,WNT3A,ANKRD30A,PPP2R2C
CD3E,MYO1A,RASL11B,ALOX12B,PMP2,IL13,COL2A1,GPR98,ATP1A3
NKX2-1,PXT1,AMHR2,ZSCAN10,SSTR2,SLC9A3,SDPR,CLEC9A,SMLR1
NMUR2,EIF2S3L,RNF166,CTB-43E15.1,TSPAN8,AOAH,AC130469.1,KLK8,HTR1B
TGM5,ALK,AMH,FCGR2B,CORO2A,RP11-412H8.2,DEFA4,WBSCR28,SLC22A18AS
hsa-miR-200b-5p,SCGB3A1,KLK10,UNC93A,GAD2,AIPL1,C5orf46,ABHD17C,AC090627.1
SLC30A2,CWH43,LLNLF-158E9.1,RP11-370I10.10,DUSP26,EVL,1-Dec,MMP3,LEFTY2
CYP3A4,DMRTC2,AF124730.4,GPR6,HIST1H1C,PLAC4,AC009133.17,CFP,RP11-115D19.1
hsa-miR-3920,AMH,BTBD11,CA7,FCGBP,TMEM253,LIMD2,TSPAN8,PPP1R1B
C1QL1,HAPLN2,CFP,SMIM9,C11orf53,TMEM238,WDFY4,RNF103-CHMP3,CTD-2354A18.1
RP4-576H24.4,NXPE1,CDCA7,SH2D1B,HIST1H2BG,hsa-miR-4665-5p,WDR87,SCIMP,SCG5
LYPD3,MOGAT2,SERPIND1,SERPINA9,TTLL6,AC009950.2,SCG3,CFAP99,RP1-102K2.6
CASP16,B4GALNT2,GPC5-AS1,C10orf90,TNNI2,GRM4,SPRR2E,LGALS9B,CRCT1
hsa-miR-129-5p,NCAM1,CNIH2,SLCO1B3,RIMS2,RP11-161I6.2,SFTPC,PADI4,ACTC1
PSTPIP2,CLGN,RP11-644L4.1,RP11-203E8.1,SLC5A1,NLRP13,CCL25,CYBB,SLC10A2
CD2,LAMA3,D4S234E,LTA,FUT9,RP11-442O1.4,TRAPPC3L,PCDH11X,KBTBD12
STX16-NPEPL1,GHRH,MUC17,TGM3,KLK10,RP11-414J4.2,RP11-114M1.2,ZNF716,FBN3
DLX2,SULT1E1,SPTSSB,LINC01297,CRACR2B,RP11-742B18.1,CCDC88B,ITLN2,SLC35D3
hsa-miR-33a-3p,PPP1R1B,SDPR,BAIAP2L2,CSTL1,OR6K3,FCRL3,PLA2G10,MSLN
UPK1A,GIPR,CCK,CLCN1,SCGB1D2,MYBPC2,ANK1,GPR87,TUBAL3
RP5-1011O1.3,MTTP,C9orf139,NDNF,NPC1L1,LLNLR-470E3.1,KLRD1,CDC6,SMAGP
CDH17,ATP6V0A4,GFRA3,NR1I2,CARD18,UTS2,LL22NC03-75H12.2,C11orf21,hsa-miR-126-5p
ESX1,TGM5,RP11-503C24.6,hsa-miR-142-3p,CLCA2,hsa-let-7g-3p,C10orf128,FEV,EDDM3A
hsa-miR-1251-5p,SIGLEC14,DDX53,hsa-miR-424-5p,CDCA7,NKX2-2,EDN3,SEZ6L,SMYD1
RP11-304F15.4,DAB1,RP11-794G24.1,FOXI2,OFCC1,BPIFB1,AGMO,TTC16,RP5-907C10.3
CD22,HRASLS2,SHISA8,LRRK2,PIP5K1B,DNAH11,LDLRAD1,ARHGAP25,GPR182
SCG3,NMUR2,SIGLEC1,FAM83D,ASPDH,NLRC4,BTBD16,CDH12,TACR2
GKN2,KCNC2,hsa-miR-137,BTLA,MUC3A,RP11-187E13.1,C9orf139,BTNL9,KLRC4-KLRK1
SYTL5,CALY,LY6D,WIF1,IFNE,PI3,KRT2,ANKRD55,hsa-miR-218-1-3p
VSTM2L,KCP,SUSD3,CTSW,JSRP1,RP11-863K10.2,CEACAM1,DEFA3,HCK
DEFA4,OR1N2,RP11-849I19.1,HTR5A,HTR3C,SIGLEC5,LCP1,LDLRAD1,hsa-miR-605-5p
SOX17,S100P,hsa-miR-340-3p,ART4,CTXN2,RP11-58O9.2,RP11-861A13.3,ANKLE1,DNAH8
hsa-miR-6803-3p,CTB-114C7.4,TRAPPC3L,hsa-miR-139-5p,KIAA1324,COLGALT2,VENTX,EDN3,GCNT3
ITIH6,PIWIL1,RP11-861A13.3,P2RY8,ANXA8L1,VAT1L,AC103563.8,GDAP1L1,NCBP2L
CEACAM20,LRRC66,AC023590.1,TRPC7,TDRD5,RP4-794I6.4,RP11-430H10.3,TRIM46,UGT1A9
MUC6,LCNL1,IGFLR1,RP1-225E12.2,TGM4,SPATA13,PITX1,DSG3,SNTN
hsa-miR-137,CNTN5,TBX15,TRPV6,TMEM59L,BTBD16,KCNJ6,CCK,C17orf77
OFCC1,CYP2S1,AC064853.2,CHRNA5,FOXA3,RP4-799D16.1,CYBB,INA,AC079630.4
CCR7,INA,Z83844.1,CAMK1D,PRIMA1,LA16c-380H5.4,MAGEA6,MS4A7,TRPC7
ITGA4,CARTPT,DEGS2,SLC22A2,FOXA1,LAIR1,CYP2F1,ANXA8L1,CDH10
ZSCAN4,RP11-787I22.3,CLEC9A,CEACAM6,CIB4,FLI1,MRAP,AJAP1,MIA-RAB4B
MIR155HG,BPIFB4,C6orf58,HTRA4,HIST1H4H,RP11-574F11.3,SEPT1,CLGN,PYHIN1
TCL1A,RNF183,AGMO,GPC5-IT1,SLITRK1,MASP1,LINC01269,GABRQ,FOXB1
CDHR1,SYT5,CTD-3138B18.4,FOXJ1,SPTBN4,RP4-536B24.3,RBMS3-AS2,PADI1,ZNF488
INSM2,MST1R,GPR34,MAPK15,RNF39,RP11-89K21.1,MMEL1,NKX6-2,GP1BA
hsa-miR-450a-5p,LINC00707,HBB,VPREB3,SFTPA2,RP5-1042I8.7,TCP11X2,NTRK1,APOH
FCRLA,SLFN14,CALHM3,F12,CNTNAP5,AIM2,KLF5,DPCR1,RP11-734K21.3
PXT1,PAX9,C6orf99,CYP27A1,RAPGEFL1,CST4,RXFP4,ZP3,HIST2H3C
hsa-miR-19a-3p,NEK2,PLA2G10,SERPINC1,C6orf118,CELA3B,RP11-867G23.2,ANGPTL6,TNFRSF19
hsa-miR-892a,RASGRP4,POU2F2,FAM25A,KRTAP5-5,HOXA13,ERN2,PCDH8,DNAH11
BFSP2,GPNMB,CD37,FRMD1,CRABP2,SPTSSB,CTD-2340D6.1,HSD11B2,ELF5
RASGRP4,MTRNR2L3,CEACAM1,OTC,GJB3,PLA2G12B,LRP2,JPH3,GNG13
TMPRSS11E,ITGA2B,NFE4,C10orf99,SRD5A2,SCGB1A1,RASAL1,CAPN5,AC093627.11
CLEC9A,CSTL1,MNDA,HOXC12,RIIAD1,RP11-503C24.6,EPB42,TNMD,RP11-796E2.4
SLAMF6,MALRD1,AF186192.6,LIMS3,IGF2BP1,SLC17A6,hsa-miR-885-5p,LIPK,HRASLS2
hsa-miR-885-5p,hsa-miR-1271-5p,CYP3A5,GPR35,SLC35F3,TRNP1,RP11-219E7.1,SLFN14,TLX1NB
RNF103-CHMP3,KIF14,RP11-262H14.3,LPCAT4,GDF15,GH1,STEAP2-AS1,DDC,BAIAP3
OR52W1,TTC16,ANKRD55,PTPN6,DNAH3,MAP3K19,ZDHHC22,BMP3,TLR8
KNDC1,hsa-miR-93-3p,SLC6A8,MUC16,DUOXA1,POLR2J2,PTCRA,ASB4,EPB42
FCRL1,SLA,RP11-133K1.12,hsa-miR-451a,SCG5,RP11-93K22.13,GJB3,NOX5,TMEM132B
FSIP2,HSPA1B,SYT5,WDR16,SPIRE2,AC067945.4,RP11-229P13.15,NEUROD2,IRX1
ABCG5,SEZ6L,CTD-2291D10.4,PZP,SPINK7,MYO16-AS1,ZBBX,ZNF154,LINC01506
UNC93A,SH3TC2,CRYBB1,DHDH,C9orf152,MMP1,RP11-58E21.5,CCR7,LINC01091
RP11-1029J19.4,GPR110,RP11-268G13.1,SPRR2D,EPHA5,VWA3B,TMIE,ADORA2B,RP11-412H8.2
GPR31,TIFAB,GPR55,RP1-29C18.9,MB,AMY1B,PCDH15,IFFO2,PCDH8
KMO,GLIPR2,SRMS,CAPN9,C8G,LL22NC03-22D1.1,PCDH8,WT1,UNC13C
hsa-miR-145-5p,hsa-miR-1269a,NCAM1,CCL4L1,GRIA2,RP11-346D19.1,NPSR1-AS1,CDCA7,GALNT8
CDH12,GRIN2B,P2RY13,MSLNL,HYAL4,TMEM229A,RP11-161I6.2,APOA1,CNTD2
MMP12,PIK3R5,CREB3L3,MUC13,CELA3B,hsa-miR-30e-5p,TEX19,RNF223,SGCZ
MST1R,IL13RA2,ITGB2,CFAP45,SLC26A9,RP11-1191J2.5,hsa-miR-891a-5p,CLEC3A,GC
DOK2,C5AR1,HSD17B6,MUC3A,SLC39A4,PCDH20,CD37,C6orf58,MB
B4GALNT2,CLDN18,EIF2S3L,PIP5K1B,NEK2,CTD-2089N3.1,RP11-107E5.3,HVCN1,SOX17
RIMS1,ECSCR,AP003774.4,MGC50722,KCNJ6,ZNF295-AS1,SAGE1,FCRL3,LY6H
ITGB7,L1TD1,OTX1,HFM1,CACNG6,SLC10A2,HP,MET,CTD-2089N3.1
PRLR,TDRD10,MIR223,NAT2,SPRR2A,RXFP4,AP001056.1,IL36RN,FAM81B
LGR6,RNASE6,RP11-102K13.5,FAM9C,WBSCR28,LINC01511,CD247,ELFN2,AMER2
LIPA,SPINK5,NEURL3,CD19,SHH,MAPT-IT1,CCK,TCP11X2,CDH6
MASP1,TRPC7,MS4A6E,CYP2C19,TMEM229A,hsa-miR-223-5p,TUBB2B,HIST1H2BJ,GPR98
LDLRAD1,ZNF488,FLI1,C7orf57,CSAG1,LINC00996,RNF166,ADCY8,LINC00954
hsa-miR-552-3p,ITIH6,SOX1,VGLL1,LYPD8,RAB27B,C11orf44,1-Dec,MAP3K19
MYO1A,SSTR1,OFCC1,LRIT2,SLC39A2,IGFL1,RP11-982M15.8,GIPR,hsa-miR-891a-5p
ABCC8,CD3E,MYBL1,GPA33,RIMBP2,RP1-76B20.11,KRTAP4-1,C1orf158,SNCA-AS1
BEAN1,PAPLN,CYP4A22,ALOXE3,AVPR1B,RASAL3,CRISP3,FOXH1,CAPN8
GSTA1,SLC22A31,PCDH15,SLC12A3,OTX1,RP11-20J15.5,CPA3,NEK2,NXF3
LILRA6,RASL11B,EDN3,CHRM4,PPBP,HOXD10,CLCA4,POLR2J2,C10orf105
CORO1A,WAS,HOXC13,RSPO4,SYTL5,HPGD,CLPSL1,FABP4,PCDH10
SPIC,CRTAM,EVPL,SST,GRIN1,TNMD,CERKL,BCL11A,RP11-410N8.3
SPANXB2,VSTM2L,BCL11A,IL24,CEACAM5,LINC00443,CYP26A1,OR52W1,PHF21B
GIMAP7,VENTX,ADCY8,AQP9,CEMIP,SMIM22,LINC00470,FAM153C,RP11-678G14.3
PRAC2,FLRT2,WDFY4,GRIA2,C8orf31,PCDH11X,RBFOX3,SIRPD,CDH17
hsa-miR-133a-3p,TNNT2,KRTAP4-1,BCL2A1,DRGX,ITGA4,GFRA3,KCNJ3,APOB
GRAMD1B,CD300A,SLC6A14,CALML5,SCGN,TCEAL6,PARVG,CR1L,RP11-65J3.3
REEP2,IQGAP3,RBMS3-AS2,UGT2B10,BAIAP3,TNS4,ACSM5,ZNF114,DLX6
C11orf44,AMER3,CTA-384D8.31,FSTL5,SULT4A1,HIF3A,MMP3,AC104809.3,RERG-IT1
FAM57B,SAA2-SAA4,AC079466.1,PTPRC,PAX3,CGB7,CAPZA3,EVPL,GNG4
GAST,C1orf194,ZC3H12D,hsa-miR-542-5p,TRIM29,LPL,ANXA8L1,SOX1,SLFN14
C2orf82,NCCRP1,ATP4B,hsa-miR-126-3p,OOEP,RP11-626G11.1,AF127577.8,SPRR2E,RP11-753D20.3
FCGR1A,ZBTB32,SHANK3,APOC4-APOC2,CNTNAP4,AMHR2,BCL11A,KLRD1,PAX7
SPINK7,ABCC8,RP11-390F4.6,hsa-miR-218-1-3p,SPTSSB,CCDC42B,CD3E,NLRP13,TCEAL6
ARHGAP4,PLCB2,AC104809.3,SBSPON,SLC6A14,AQP5,LINC01300,CYP24A1,SLC30A8
ITLN2,AXDND1,YBX2,LINC00707,DUSP9,INPP5D,PTK6,TMPRSS4,LINC00996
CERKL,HIST1H2BC,KRT14,KCNE3,SLC6A8,RP11-48B3.4,GPR87,C6orf25,RP11-930P14.1
NTRK1,AANAT,MMEL1,hsa-miR-1271-5p,PAX9,SLC18A1,PRODH,MEF2C,PHACTR3
CLDN18,KCNA7,CDC6,ATCAY,APCDD1L,AKR1C1,RP11-400N9.1,BPIFB1,AC091801.1
SFN,NAT16,AADAC,hsa-miR-627-5p,MST1R,HOXC11,ERBB4,BCL2L14,hsa-miR-4683
PNOC,RIC3,TRH,WAS,VWA3B,RP11-661A12.9,IFFO2,KRTDAP,RP11-120K24.5
TMEM14E,CRB2,WI2-2373I1.2,NAT16,RIBC2,RP11-374F3.5,GPR119,BPIFB2,GLRA3
TXK,C4orf26,MAGEA4,WNT10A,PTPRZ1,AC002511.3,TNFAIP8L2,GLYATL3,OR6S1
TIFAB,AQP2,BTBD16,FSTL3,XKR9,SLC5A10,hsa-miR-192-3p,EIF2S3L,FAM156B
CXCL17,PARP15,NTRK1,TMEM210,RNF183,LINC01447,RP11-244B22.10,CRHBP,SAGE1
FUT7,APOC3,TAAR1,LRRC55,TCEAL2,RP11-268G13.1,CTC-457E21.9,RHCG,ITGAL
PNCK,MORN5,OR10G2,MAL2,BPIFB4,SLAMF6,CALHM3,CD3G,TCEAL5
SLC38A8,NCF2,SPRR2A,EPS8L1,SERPINB13,RP11-626G11.5,C1orf162,RAB27B,RBP3
DOCK10,CGB5,KIF17,PRF1,RAET1L,RP11-81H3.2,U47924.27,NRROS,INSM1
ITGB2,IL1R2,ANLN,hsa-miR-140-5p,UNC80,TNFRSF13B,TMEM255A,MSR1,ACAP1
GPR174,ALDH3B2,GUCY2F,TLR1,ANLN,KRT24,EXOC3L1,SOX15,GJB3
ASPDH,REG4,HIST2H2BF,LYPD1,GREB1L,ALS2CR12,ZNF114,HRASLS2,SALL3
UBASH3A,FSTL3,BEST2,PGA5,DNAH2,CRYBB1,RSPO2,ITGAL,AC004381.7
FEZF1,SERPINA9,CDHR5,hsa-miR-206,CARTPT,RP11-114M1.2,TFF2,VAMP1,GIP
GJB3,C10orf90,LAIR1,hsa-miR-139-3p,SLC35F4,GABRG3,LINC01351,CEACAM20,CST5
SERPINB13,C10orf99,SLC22A11,hsa-miR-3074-5p,FETUB,1-Dec,CNIH2,S100A14,PLIN4
