genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
RP11-356J5.13,UNC93A,DEFA5,LILRA2,SLC38A4,SPRR2A,hsa-miR-126-3p,ATP2C2,LGR6
LINC01224,hsa-miR-618,ANXA8,CDC20B,COL17A1,RP11-826N14.4,FAM178B,HIST1H2BD,CSN3
RP11-771K4.1,CGB,hsa-miR-934,HLA-DMB,SULT2A1,AC093642.3,LILRB1,SIGLEC5,GP9
FSTL4,TMPRSS11E,TRIM46,SLC16A6,CPLX2,ZNF154,CA14,DCAF12L1,ALPP
L1CAM,ZBED2,KLK6,RP11-575M22.1,STYK1,P2RY10,APOB,BACH2,RIPPLY2
RP11-132N15.3,SERPINB4,DOCK8,LINC01114,SYT4,hsa-miR-146a-5p,hsa-miR-3074-5p,LRRC53,CGN
CTC-137K3.1,ACE2,RP11-543H23.1,MYL4,PNMT,CCDC88B,GALNT5,NLRC4,SLC2A6
LINC00494,hsa-miR-377-3p,hsa-miR-22-5p,C19orf84,AGR3,STAC3,hsa-miR-146a-3p,ANO4,KCNJ6
AC002511.3,CYP26A1,PADI4,RAC2,CFC1,LINC01269,PADI1,TNFRSF13B,MYO1F
TYROBP,LPPR3,hsa-miR-424-3p,NR5A2,CACNG7,LINC00051,LINC01207,LAIR1,CRYBA2
P2RY12,HP,hsa-miR-20b-5p,CD3D,AMN,BTNL9,GRAP,FAM3D,MAGEC2
TNFSF8,ITGB7,PCDH11X,RP11-360F5.3,SPINK5,ITIH5,IQSEC3,PARVG,AC104809.3
RP11-431K24.1,KLK5,RIPPLY3,MOGAT3,PON1,CXCR1,PALD1,GFRA3,PLA2G4F
GPR1-AS,GPR123,IQSEC3,RP1-167O22.1,SERTM1,hsa-miR-618,ANKLE1,OTX1,PRDM12
PABPN1L,hsa-miR-545-5p,NKX2-2,MAGEA1,SPOCK3,ARL14,GRM4,TMEM179,HIST1H3H
PRAM1,ITGA4,NKG7,SPRR3,TMEM82,CSNK1A1L,ANXA8,TRIM50,LGALS9C
KRT222,BTNL9,hsa-miR-423-3p,PON1,SST,RP11-982M15.8,MMP25,PAX7,NRXN1
CDH23,GSDMC,hsa-miR-31-3p,DKK4,CAPN9,MAB21L2,hsa-miR-144-5p,LMAN1L,GDA
AC006262.5,hsa-miR-215-5p,CABP7,MUC4,MS4A8,SMIM5,RP11-626G11.1,SPTA1,MMP1
RP11-756G20.1,UBASH3A,RP11-73O6.3,TPRXL,CALML5,LMAN1L,RP11-386M24.3,CPA3,CXCR5
RP11-50I19.2,SGCG,GRM4,TTC29,BPIFA1,hsa-miR-342-3p,FABP7,CLCA2,CTD-2509G16.5
RP11-416N2.3,hsa-miR-192-3p,FSTL4,GPR149,SERPINA10,HIST1H2AM,AFF3,PDE6G,RP11-403A21.1
FOXH1,hsa-miR-196b-5p,XCL2,HIST1H4H,SOSTDC1,GIP,KRTDAP,MMEL1,KLK8
DCAF12L1,LGI1,APOB,FCER2,MSLNL,TMPRSS4,CXCR6,EPHA10,RP11-64B16.4
PLCG2,LDLRAD1,NXPE1,FCAMR,HOXC12,FAM187B,RP5-899E9.1,TMIE,LST1
RP11-131H24.4,LTA,AC144450.2,CCL2,PIP,LIMD2,AIM2,FCN1,SLC6A19
AC145110.1,hsa-miR-1304-3p,TDRD5,SPINK14,MUC5AC,PNCK,IDI2,KLK10,PNOC
ATG16L2,hsa-miR-1269b,ABCD2,SRRM4,ASCL1,PDZD3,HOXD10,EEF1A2,REG4
FASLG,hsa-miR-4724-5p,ARHGEF16,SCIN,PGC,HMP19,TMEM238,EFNA3,HMOX1
RP11-543H23.1,SLFN12L,hsa-miR-454-3p,LRRTM3,APOA2,CTC-457E21.9,hsa-miR-501-3p,MAGEA4,CBLN1
ATG9B,KLHL1,RASAL3,CIITA,FAM156B,RP11-472G21.2,MIR2117,MMP24,ANXA8L1
SFTA2,TCN1,LINC00996,AICDA,MYH8,WNT3A,RTBDN,CAMP,LCNL1
ZG16,NEB,RASSF4,SERPINA3,SMIM9,CHD5,KLRG1,PPP1R16B,CYP1A2
AC092198.1,CKMT1A,ZP3,C10orf126,TMEM110-MUSTN1,CAPZA3,ZNF560,IL27,RP11-752D24.2
RIMS2,FCRL1,RP11-756G20.1,MAGEB2,LRRK2,CPA3,hsa-miR-1251-5p,IL1R2,GSDMC
XCL2,UCP1,KLK7,OBP2B,RASSF2,UGT2B4,SLC39A5,MUC1,CTD-3064H18.4
RP11-930P14.1,BEST2,RP3-448I9.2,FLT3,YPEL1,AC064853.2,ITGAX,HIST1H3D,TTC16
ALOX5AP,CD22,hsa-miR-146b-5p,ZAN,SLC24A4,Z83844.1,TMEM52B,FAM187B,SLCO1B1
LAIR1,EDDM3A,LINC00173,CHGB,CD3D,TMEM132D,hsa-miR-1292-5p,HIST2H2BE,GPHA2
AC079779.4,TMPRSS6,hsa-miR-1228-5p,PPP1R1C,SEMA3G,OR10G2,VWA3B,CST5,MYL2
RTBDN,PRAC2,SH3GL2,LILRA6,HTR3A,DSCAM,CTB-49A3.4,CAPZA3,LTB
RP11-1080G15.1,ATP4B,hsa-miR-552-5p,CRIP3,RAC2,C19orf35,DEFA5,HOXD10,HTR3C
SLC47A1,LGR5,hsa-miR-3653-5p,hsa-miR-1228-5p,HBG2,DAW1,hsa-miR-377-3p,VWA3B,hsa-miR-33a-5p
ANKRD33,LYPD3,ACP5,MROH6,CCR2,RP11-680F20.9,KCNAB1,RSPO2,TTC24
CABP7,IL31RA,CTD-3096M3.1,TSPAN1,GPSM3,GPR158,MAPT-IT1,MAGEA12,HLA-DQB1-AS1
RP11-180P8.1,HIST1H2BO,KRT24,ITIH6,SAMSN1,RP11-1007G5.2,hsa-miR-4726-5p,FOXA1,GIMAP8
LRRC53,ITLN1,TNS4,PRSS12,OXER1,CPAMD8,XKR3,POPDC3,U62631.5
HIST1H2BD,GJB6,AC079613.1,IKZF3,PILRA,KCNAB1,TRIM46,DRGX,FGFBP1
MFSD2A,TTBK1,SLURP1,hsa-miR-450a-5p,FPR1,RP11-102K13.5,PCDH11X,FOXE1,SERPINB13
PLAC4,NPY5R,MYRFL,SCG2,CSMD2,RP11-107E5.3,SNX10,CYP2F1,IRF4
KCNAB2,MIA-RAB4B,CKMT1A,HMX2,SLC16A6,AC130469.1,APOH,LY6D,CTAGE15
STAR,SHD,XKR3,hsa-miR-424-3p,S1PR4,RP4-550H1.4,L1CAM,APOE,CTD-2196P11.2
RP11-861A13.3,SPANXB2,LINC01447,RP3-393E18.2,KLRC3,PRLR,CPS1,SHISA8,CA10
RP11-713C5.1,AC005532.5,GAPT,WISP3,EBI3,FSIP2,TMEM190,TMEM190,PCP4L1
RP11-326C3.15,RNF103-CHMP3,LY86,AC133785.1,FYB,RP11-244B22.10,hsa-miR-1180-3p,CD38,SGCG
RP11-64B16.4,LAT2,FABP7,ADRBK2,ARL11,IL6,CELA3B,SOWAHD,XKR9
XKR7,AC023672.2,hsa-miR-130a-3p,GPR18,NPL,ARHGAP25,SIGLEC5,TMEM253,APLP1
LILRA5,SLC6A14,CLEC17A,CRX,LRRN4,GPR87,SLC47A1,L1CAM,hsa-miR-628-3p
LLNLR-470E3.1,SLC27A2,hsa-miR-590-3p,SLC35D3,VAV3,DUOXA1,RP11-73O6.3,MIOX,RP11-326C3.15
RP11-410N8.3,MUC6,HLA-DRA,HOXA5,PIK3AP1,LINC01300,hsa-miR-670-3p,MS4A1,GKN2
PTGDR2,ALDH3A1,TRPV2,LRMP,NFAM1,HSD17B6,NEK2,IPCEF1,ZNF804A
GRIA3,hsa-miR-450a-5p,RP11-1036E20.9,KLRC3,CDC20B,AC009133.17,CAMP,NTF4,GIMAP7
ADAP1,hsa-miR-223-5p,SLC28A2,TNFRSF19,GNGT2,XK,hsa-miR-548ba,SCGB1D2,CRACR2B
CTD-2587H24.5,hsa-miR-424-5p,hsa-miR-16-2-3p,CTB-138E5.1,SNX20,VSTM2L,LPHN3,ZNF486,SIGLEC1
